gem_id,meaning_representation,target,references
viggo-challenge_train_1_percent-0,"confirm(name[Undertale], has_linux_release[yes], has_mac_release[yes])","Oh, you mean Undertale, right? The one that was ported to Mac and Linux?","['Oh, you mean Undertale, right? The one that was ported to Mac and Linux?']"
viggo-challenge_train_1_percent-1,"confirm(name[Tony Hawk's Pro Skater 3], platforms[PC], available_on_steam[no])","Are you talking about Tony Hawk's Pro Skater 3, the one on PC but not on Steam for some odd reason?","[""Are you talking about Tony Hawk's Pro Skater 3, the one on PC but not on Steam for some odd reason?""]"
viggo-challenge_train_1_percent-2,"confirm(name[Grand Theft Auto V], player_perspective[third person])",Do you mean the Grand Theft Auto V that has got a third person perspective?,['Do you mean the Grand Theft Auto V that has got a third person perspective?']
viggo-challenge_train_1_percent-3,"give_opinion(name[Madden NFL 15], rating[average], has_multiplayer[yes])","Madden NFL 15 is average I guess. At first I didn't like it at all, but the multiplayer made it somewhat worthwhile.","[""Madden NFL 15 is average I guess. At first I didn't like it at all, but the multiplayer made it somewhat worthwhile.""]"
viggo-challenge_train_1_percent-4,"give_opinion(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], esrb[M (for Mature)], rating[average])","I'm not a fan of M rated games, so I thought I'd hate Call of Duty: Advanced Warfare. But Sledgehammer Games is a developer that knows what they're doing most of the time, so I actually found it to be okay.","[""I'm not a fan of M rated games, so I thought I'd hate Call of Duty: Advanced Warfare. But Sledgehammer Games is a developer that knows what they're doing most of the time, so I actually found it to be okay.""]"
viggo-challenge_train_1_percent-5,"give_opinion(name[SpellForce 3], developer[Grimlore Games], rating[poor], available_on_steam[yes])","I'm not a big fan of games by Grimlore Games on Steam. SpellForce 3, for example, was a plain torture to play through.","[""I'm not a big fan of games by Grimlore Games on Steam. SpellForce 3, for example, was a plain torture to play through.""]"
viggo-challenge_train_1_percent-6,"give_opinion(name[The Last of Us], rating[excellent], player_perspective[third person], platforms[PlayStation])",The Last of Us is a downright amazing third person exclusive for the PlayStation.,['The Last of Us is a downright amazing third person exclusive for the PlayStation.']
viggo-challenge_train_1_percent-7,"give_opinion(name[Undertale], rating[excellent], genres[adventure, indie, role-playing])",Undertale is a gem of an indie game. It's a flawless blend of adventure and RPG elements.,"[""Undertale is a gem of an indie game. It's a flawless blend of adventure and RPG elements.""]"
viggo-challenge_train_1_percent-8,"inform(name[FIFA 12], release_year[2011], esrb[E (for Everyone)], rating[average], genres[simulation, sport], player_perspective[bird view, side view])",FIFA 12 was an average simulation sport game released in 2011. It's rated E and has a bird view and side view perspective.,"[""FIFA 12 was an average simulation sport game released in 2011. It's rated E and has a bird view and side view perspective.""]"
viggo-challenge_train_1_percent-9,"inform(name[Super Bomberman], release_year[1993], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Super Bomberman was released in 1993 on Nintendo and PC only. It is not available on Steam, Linux or Mac. It is an action strategy game.","['Super Bomberman was released in 1993 on Nintendo and PC only. It is not available on Steam, Linux or Mac. It is an action strategy game.']"
viggo-challenge_train_1_percent-10,"inform(name[SpellForce 3], rating[poor], genres[real-time strategy, role-playing])","I wouldn't recommend SpellForce 3, though it's an RTS RPG, it has poor ratings.","[""I wouldn't recommend SpellForce 3, though it's an RTS RPG, it has poor ratings.""]"
